commandment_number,commandment_concept,commandment_polarity,reference_id,scripture_english,scripture_hebrew,scripture_greek,scripture_parashah,sefer_hachinuch_number,mishneh_torah_book_number,mishneh_torah_book_name,mishneh_torah_category,p119f_category,,,,,,,,,,,,,
40,Do not say anything in an idolater's defense ,N,DEU 13:9,"""But you shall surely kill him; your hand shall be first against him to put him to death, and afterwards the hand of all the people.",  כִּי הָרֹג תַּהַרְגֶנּוּ יָדְךָ תִּהְיֶה־בּוֹ בָרִאשׁוֹנָה לַהֲמִיתוֹ וְיַד כָּל־הָעָם בָּאַחֲרֹנָה׃ ‬,13:10 ἀναγγέλλων ἀναγγελεῖς περὶ αὐτοῦ αἱ χεῖρές σου ἔσονται ἐπ' αὐτὸν ἐν πρώτοις ἀποκτεῖναι αὐτόν καὶ αἱ χεῖρες παντὸς τοῦ λαοῦ ἐπ' ἐσχάτῳ,Re'eh,460,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
41,Do not refrain from incriminating an idolater ,N,DEU 13:9,"""But you shall surely kill him; your hand shall be first against him to put him to death, and afterwards the hand of all the people.",  כִּי הָרֹג תַּהַרְגֶנּוּ יָדְךָ תִּהְיֶה־בּוֹ בָרִאשׁוֹנָה לַהֲמִיתוֹ וְיַד כָּל־הָעָם בָּאַחֲרֹנָה׃ ‬,13:10 ἀναγγέλλων ἀναγγελεῖς περὶ αὐτοῦ αἱ χεῖρές σου ἔσονται ἐπ' αὐτὸν ἐν πρώτοις ἀποκτεῖναι αὐτόν καὶ αἱ χεῖρες παντὸς τοῦ λαοῦ ἐπ' ἐσχάτῳ,Re'eh,461,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
42,Do not prophesy in the name of idolatry ,N,DEU 18:20,"'But the prophet who speaks a word presumptuously in My name which I have not commanded him to speak, or which he speaks in the name of other gods, that prophet shall die.'","כ אַךְ הַנָּבִיא אֲשֶׁר יָזִיד לְדַבֵּר דָּבָר בִּשְׁמִי, אֵת אֲשֶׁר לֹא-צִוִּיתִיו לְדַבֵּר, וַאֲשֶׁר יְדַבֵּר, בְּשֵׁם אֱלֹהִים אֲחֵרִים--וּמֵת, הַנָּבִיא הַהוּא.","20 πλὴν ὁ προφήτης, ὃς ἂν ἀσεβήσῃ λαλῆσαι ἐπὶ τῷ ὀνόματί μου ῥῆμα, ὃ οὐ προσέταξα λαλῆσαι, καὶ ὃς ἂν λαλήσῃ ἐπ᾿ ὀνόματι θεῶν ἑτέρων, ἀποθανεῖται ὁ προφήτης ἐκεῖνος.  ",Shoftim,518,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
43,Do not listen to a false prophet ,N,DEU 13:4,"""You shall follow the LORD your God and fear Him; and you shall keep His commandments, listen to His voice, serve Him, and cling to Him.","ה אַחֲרֵי יְהוָה אֱלֹהֵיכֶם תֵּלֵכוּ, וְאֹתוֹ תִירָאוּ; וְאֶת-מִצְו‍ֹתָיו תִּשְׁמֹרוּ וּבְקֹלוֹ תִשְׁמָעוּ, וְאֹתוֹ תַעֲבֹדוּ וּבוֹ תִדְבָּקוּן.",(13:5) ὀπίσω κυρίου τοῦ θεοῦ ὑμῶν πορεύεσθε καὶ αὐτὸν φοβηθήσεσθε καὶ τὰς ἐντολὰς αὐτοῦ φυλάξεσθε καὶ τῆς φωνῆς αὐτοῦ ἀκούσεσθε καὶ αὐτῷ προστεθήσεσθε.  ,Re'eh,456,1,Knowledge,Idolatry and Gentile Customs,Prophecy,,,,,,,,,,,,,
44,Do not prophesy falsely in the name of G-d ,N,DEU 18:20,"'But the prophet who speaks a word presumptuously in My name which I have not commanded him to speak, or which he speaks in the name of other gods, that prophet shall die.'",  אַךְ הַנָּבִיא אֲשֶׁר יָזִיד לְדַבֵּר דָּבָר בִּשְׁמִי אֵת אֲשֶׁר לֹא־צִוִּיתִיו לְדַבֵּר וַאֲשֶׁר יְדַבֵּר בְּשֵׁם אֱלֹהִים אֲחֵרִים וּמֵת הַנָּבִיא הַהוּא׃ ‬,πλὴν ὁ προφήτης ὃς ἂν ἀσεβήσῃ λαλῆσαι ἐπὶ τῷ ὀνόματί μου ῥῆμα ὃ οὐ προσέταξα λαλῆσαι καὶ ὃς ἂν λαλήσῃ ἐπ' ὀνόματι θεῶν ἑτέρων ἀποθανεῖται ὁ προφήτης ἐκεῖνος,Shoftim,517,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
45,Do not be afraid of killing the false prophet ,N,DEU 18:22,"""When a prophet speaks in the name of the LORD, if the thing does not come about or come true, that is the thing which the LORD has not spoken. The prophet has spoken it presumptuously; you shall not be afraid of him.","כב אֲשֶׁר יְדַבֵּר הַנָּבִיא בְּשֵׁם יְהוָה, וְלֹא-יִהְיֶה הַדָּבָר וְלֹא יָבֹא--הוּא הַדָּבָר, אֲשֶׁר לֹא-דִבְּרוֹ יְהוָה: בְּזָדוֹן דִּבְּרוֹ הַנָּבִיא, לֹא תָגוּר מִמֶּנּוּ. {ס}","22 ὅσα ἐὰν λαλήσῃ ὁ προφήτης ἐπὶ τῷ ὀνόματι κυρίου, καὶ μὴ γένηται τὸ ῥῆμα καὶ μὴ συμβῇ, τοῦτο τὸ ῥῆμα, ὃ οὐκ ἐλάλησεν κύριος· ἐν ἀσεβείᾳ ἐλάλησεν ὁ προφήτης ἐκεῖνος, οὐκ ἀφέξεσθε αὐτοῦ.  ",Shoftim,519,1,Knowledge,Idolatry and Gentile Customs,Prophecy,,,,,,,,,,,,,
46,Do not swear in the name of an idol ,N,EXO 23:13,"""Now concerning everything which I have said to you, be on your guard; and do not mention the name of other gods, nor let them be heard from your mouth.",  וּבְכֹל אֲשֶׁר־אָמַרְתִּי אֲלֵיכֶם תִּשָּׁמֵרוּ וְשֵׁם אֱלֹהִים אֲחֵרִים לֹא תַזְכִּירוּ לֹא יִשָּׁמַע עַל־פִּיךָ׃ ‬,πάντα ὅσα εἴρηκα πρὸς ὑμᾶς φυλάξασθε καὶ ὄνομα θεῶν ἑτέρων οὐκ ἀναμνησθήσεσθε οὐδὲ μὴ ἀκουσθῇ ἐκ τοῦ στόματος ὑμῶν,Mishpatim,86,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
47,Do not inquire of spirits,N,LEV 19:31,'Do not turn to mediums or spiritists; do not seek them out to be defiled by them. I am the LORD your God.,"לא אַל-תִּפְנוּ אֶל-הָאֹבֹת וְאֶל-הַיִּדְּעֹנִים, אַל-תְּבַקְשׁוּ לְטָמְאָה בָהֶם: אֲנִי, יְהוָה אֱלֹהֵיכֶם.",31 οὐκ ἐπακολουθήσετε ἐγγαστριμύθοις καὶ τοῖς ἐπαοιδοῖς οὐ προσκολληθήσεσθε ἐκμιανθῆναι ἐν αὐτοῖς· ἐγώ εἰμι κύριος ὁ θεὸς ὑμῶν.  ,Kedoshim,255,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
48,Do not consult magicians or seers,N,LEV 19:31,'Do not turn to mediums or spiritists; do not seek them out to be defiled by them. I am the LORD your God.,  אַל־תִּפְנוּ אֶל־הָאֹבֹת וְאֶל־הַיִּדְּעֹנִים אַל־תְּבַקְשׁוּ לְטָמְאָה בָהֶם אֲנִי יְהוָה אֱלֹהֵיכֶם׃ ‬,οὐκ ἐπακολουθήσετε ἐγγαστριμύθοις καὶ τοῖς ἐπαοιδοῖς οὐ προσκολληθήσεσθε ἐκμιανθῆναι ἐν αὐτοῖς ἐγώ εἰμι κύριος ὁ θεὸς ὑμῶν,Kedoshim,256,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
49,Do not pass your children through the fire to Molech ,N,LEV 18:21,"'You shall not give any of your offspring to offer them to Molech, nor shall you profane the name of your God; I am the LORD.","כא וּמִזַּרְעֲךָ לֹא-תִתֵּן, לְהַעֲבִיר לַמֹּלֶךְ; וְלֹא תְחַלֵּל אֶת-שֵׁם אֱלֹהֶיךָ, אֲנִי יְהוָה.",21 καὶ ἀπὸ τοῦ σπέρματός σου οὐ δώσεις λατρεύειν ἄρχοντι καὶ οὐ βεβηλώσεις τὸ ὄνομα τὸ ἅγιον· ἐγὼ κύριος.  ,Acharei Mot,208,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
50,Do not erect a pillar in a public place of worship ,N,DEU 16:22,"""You shall not set up for yourself a sacred pillar which the LORD your God hates.","כב וְלֹא-תָקִים לְךָ, מַצֵּבָה, אֲשֶׁר שָׂנֵא, יְהוָה אֱלֹהֶיךָ. {ס}","22 οὐ στήσεις σεαυτῷ στήλην, ἃ ἐμίσησεν κύριος ὁ θεός σου.  ",Shoftim,493,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
51,Do not bow down on smooth stone ,N,LEV 26:1,"You shall not make for yourselves idols, nor shall you set up for yourselves an image or a sacred pillar, nor shall you place a figured stone in your land to bow down to it; for I am the LORD your God.","א לֹא-תַעֲשׂוּ לָכֶם אֱלִילִם, וּפֶסֶל וּמַצֵּבָה לֹא-תָקִימוּ לָכֶם, וְאֶבֶן מַשְׂכִּית לֹא תִתְּנוּ בְּאַרְצְכֶם, לְהִשְׁתַּחֲו‍ֹת עָלֶיהָ: כִּי אֲנִי יְהוָה, אֱלֹהֵיכֶם.",1 Οὐ ποιήσετε ὑμῖν αὐτοῖς χειροποίητα οὐδὲ γλυπτὰ οὐδὲ στήλην ἀναστήσετε ὑμῖν οὐδὲ λίθον σκοπὸν θήσετε ἐν τῇ γῇ ὑμῶν προσκυνῆσαι αὐτῷ· ἐγώ εἰμι κύριος ὁ θεὸς ὑμῶν.  ,B'har,349,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
52,Do not plant a tree in the Temple courtyard,N,DEU 16:21,"""You shall not plant for yourself an Asherah of any kind of tree beside the altar of the LORD your God, which you shall make for yourself.","כא לֹא-תִטַּע לְךָ אֲשֵׁרָה, כָּל-עֵץ: אֵצֶל, מִזְבַּח יְהוָה אֱלֹהֶיךָ--אֲשֶׁר תַּעֲשֶׂה-לָּךְ.","21 Οὐ φυτεύσεις σεαυτῷ ἄλσος, πᾶν ξύλον, παρὰ τὸ θυσιαστήριον κυρίου τοῦ θεοῦ σου, ὃ ποιήσεις σεαυτῷ.  ",Shoftim,492,1,Knowledge,Idolatry and Gentile Customs,Temple and Sacred Objects,,,,,,,,,,,,,
53,Destroy idols and their accessories ,P,DEU 12:2,"""You shall utterly destroy all the places where the nations whom you shall dispossess serve their gods, on the high mountains and on the hills and under every green tree.","ב אַבֵּד תְּאַבְּדוּן אֶת-כָּל-הַמְּקֹמוֹת אֲשֶׁר עָבְדוּ-שָׁם הַגּוֹיִם, אֲשֶׁר אַתֶּם יֹרְשִׁים אֹתָם--אֶת-אֱלֹהֵיהֶם: עַל-הֶהָרִים הָרָמִים וְעַל-הַגְּבָעוֹת, וְתַחַת כָּל-עֵץ רַעֲנָן.","2 ἀπωλείᾳ ἀπολεῖτε πάντας τοὺς τόπους, ἐν οἷς ἐλάτρευσαν ἐκεῖ τοῖς θεοῖς αὐτῶν οὓς ὑμεῖς κληρονομεῖτε αὐτούς, ἐπὶ τῶν ὀρέων τῶν ὑψηλῶν καὶ ἐπὶ τῶν θινῶν καὶ ὑποκάτω δένδρου δασέος  ",Re'eh,436,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
54,Do not derive benefit from idols and their accessories ,N,DEU 7:26,"""You shall not bring an abomination into your house, and like it come under the ban; you shall utterly detest it and you shall utterly abhor it, for it is something banned.","כו וְלֹא-תָבִיא תוֹעֵבָה אֶל-בֵּיתֶךָ, וְהָיִיתָ חֵרֶם כָּמֹהוּ; שַׁקֵּץ תְּשַׁקְּצֶנּוּ וְתַעֵב תְּתַעֲבֶנּוּ, כִּי-חֵרֶם הוּא. {פ}","26 καὶ οὐκ εἰσοίσεις βδέλυγμα εἰς τὸν οἶκόν σου καὶ ἔσῃ ἀνάθημα ὥσπερ τοῦτο· προσοχθίσματι προσοχθιεῖς καὶ βδελύγματι βδελύξῃ, ὅτι ἀνάθημά ἐστιν.  ",Ekev,429,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
55,Do not derive benefit from ornaments of idols ,N,DEU 7:25,"""The graven images of their gods you are to burn with fire; you shall not covet the silver or the gold that is on them, nor take it for yourselves, or you will be snared by it, for it is an abomination to the LORD your God.","כה פְּסִילֵי אֱלֹהֵיהֶם, תִּשְׂרְפוּן בָּאֵשׁ; לֹא-תַחְמֹד כֶּסֶף וְזָהָב עֲלֵיהֶם, וְלָקַחְתָּ לָךְ--פֶּן תִּוָּקֵשׁ בּוֹ, כִּי תוֹעֲבַת יְהוָה אֱלֹהֶיךָ הוּא.","25 τὰ γλυπτὰ τῶν θεῶν αὐτῶν κατακαύσετε πυρί· οὐκ ἐπιθυμήσεις ἀργύριον οὐδὲ χρυσίον ἀπ᾿ αὐτῶν καὶ οὐ λήμψῃ σεαυτῷ, μὴ πταίσῃς δι᾿ αὐτό, ὅτι βδέλυγμα κυρίῳ τῷ θεῷ σού ἐστιν·  ",Ekev,428,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
56,Do not make a covenant with idolaters ,N,DEU 7:2,"and when the LORD your God delivers them before you and you defeat them, then you shall utterly destroy them. You shall make no covenant with them and show no favor to them.","ב וּנְתָנָם יְהוָה אֱלֹהֶיךָ, לְפָנֶיךָ--וְהִכִּיתָם: הַחֲרֵם תַּחֲרִים אֹתָם, לֹא-תִכְרֹת לָהֶם בְּרִית וְלֹא תְחָנֵּם.","2 καὶ παραδώσει αὐτοὺς κύριος ὁ θεός σου εἰς τὰς χεῖράς σου καὶ πατάξεις αὐτούς, ἀφανισμῷ ἀφανιεῖς αὐτούς, οὐ διαθήσῃ πρὸς αὐτοὺς διαθήκην οὐδὲ μὴ ἐλεήσητε αὐτούς.  ",Vaet Chanan,93,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
57,Do not show favor to idolaters ,N,DEU 7:2,"and when the LORD your God delivers them before you and you defeat them, then you shall utterly destroy them. You shall make no covenant with them and show no favor to them.",  וּנְתָנָם יְהוָה אֱלֹהֶיךָ לְפָנֶיךָ וְהִכִּיתָם הַחֲרֵם תַּחֲרִים אֹתָם לֹא־תִכְרֹת לָהֶם בְּרִית וְלֹא תְחָנֵּם׃ ‬,καὶ παραδώσει αὐτοὺς κύριος ὁ θεός σου εἰς τὰς χεῖράς σου καὶ πατάξεις αὐτούς ἀφανισμῷ ἀφανιεῖς αὐτούς οὐ διαθήσῃ πρὸς αὐτοὺς διαθήκην οὐδὲ μὴ ἐλεήσητε αὐτούς,Vaet Chanan,426,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
58,Do not let idolaters dwell in the Land of Israel ,N,EXO 23:33,"""They shall not live in your land, because they will make you sin against Me; for if you serve their gods, it will surely be a snare to you.""","לג לֹא יֵשְׁבוּ בְּאַרְצְךָ, פֶּן-יַחֲטִיאוּ אֹתְךָ לִי: כִּי תַעֲבֹד אֶת-אֱלֹהֵיהֶם, כִּי-יִהְיֶה לְךָ לְמוֹקֵשׁ. {פ}","33 καὶ οὐκ ἐγκαθήσονται ἐν τῇ γῇ σου, ἵνα μὴ ἁμαρτεῖν σε ποιήσωσιν πρός με· ἐὰν γὰρ δουλεύσῃς τοῖς θεοῖς αὐτῶν, οὗτοι ἔσονταί σοι πρόσκομμα.  ",Mishpatim,94,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
59,Do not imitate idolaters in customs and clothing ,N,LEV 20:23,"'Moreover, you shall not follow the customs of the nation which I will drive out before you, for they did all these things, and therefore I have abhorred them.","כג וְלֹא תֵלְכוּ בְּחֻקֹּת הַגּוֹי, אֲשֶׁר-אֲנִי מְשַׁלֵּחַ מִפְּנֵיכֶם: כִּי אֶת-כָּל-אֵלֶּה עָשׂוּ, וָאָקֻץ בָּם.","23 καὶ οὐχὶ πορεύεσθε τοῖς νομίμοις τῶν ἐθνῶν, οὓς ἐξαποστέλλω ἀφ᾿ ὑμῶν· ὅτι ταῦτα πάντα ἐποίησαν, καὶ ἐβδελυξάμην αὐτούς.  ",Kedoshim,262,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
60,Do not be superstitious ,N,LEV 19:26,"You shall not eat anything with the blood, nor practice divination or soothsaying.","כו לֹא תֹאכְלוּ, עַל-הַדָּם; לֹא תְנַחֲשׁוּ, וְלֹא תְעוֹנֵנוּ.",26 Μὴ ἔσθετε ἐπὶ τῶν ὀρέων καὶ οὐκ οἰωνιεῖσθε οὐδὲ ὀρνιθοσκοπήσεσθε.  ,Kedoshim,250,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
61,"Do not go into a trance to foresee events, etc",N,DEU 18:10,"""There shall not be found among you anyone who makes his son or his daughter pass through the fire, one who uses divination, one who practices witchcraft, or one who interprets omens, or a sorcerer,","י לֹא-יִמָּצֵא בְךָ, מַעֲבִיר בְּנוֹ-וּבִתּוֹ בָּאֵשׁ, קֹסֵם קְסָמִים, מְעוֹנֵן וּמְנַחֵשׁ וּמְכַשֵּׁף.","10 οὐχ εὑρεθήσεται ἐν σοὶ περικαθαίρων τὸν υἱὸν αὐτοῦ ἢ τὴν θυγατέρα αὐτοῦ ἐν πυρί, μαντευόμενος μαντείαν, κληδονιζόμενος καὶ οἰωνιζόμενος, φαρμακός,  ",Shoftim,510,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
62,Do not engage in astrology ,N,LEV 19:26,"You shall not eat anything with the blood, nor practice divination or soothsaying.",  לֹא תֹאכְלוּ עַל־הַדָּם לֹא תְנַחֲשׁוּ וְלֹא תְעוֹנֵנוּ׃ ‬,μὴ ἔσθετε ἐπὶ τῶν ὀρέων καὶ οὐκ οἰωνιεῖσθε οὐδὲ ὀρνιθοσκοπήσεσθε,Kedoshim,249,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
